barangay,lat,lng
bagong_silang,13.779282,120.647821
baha,13.877457,120.709233
balibago,13.920755,120.619755
balitoc,13.862351,120.620228
bucal,13.856131,120.667389
carretunan,13.897081,120.625076
encarnacion,13.861509,120.675116
gulod,13.874254,120.618210
quilitisan,13.884502,120.618467
sambungan,13.875707,120.660396
sta__ana,13.803333,120.635290
talibayog,13.892957,120.698462
talisay,13.914410,120.618725
tanagan,13.798171,120.660353
poblacion_1,13.838915,120.618467
poblacion_2,13.834166,120.620570
poblacion_3,13.832806,120.660998
poblacion_4,13.827459,120.623617
