barangay,protected_area_code,protected_area_name,size_ha,ordinance,partner_po
bagong_silang,bagong_silang_mpa_samm,Bagong Silang Mangrove Protected Area,2,POMP Executive Order No. 10-2017; adopted by Municipal Ordinance No. 108 series of 2009 (Environmental Code of Calatagan),Samahan ng Mangingisdang Magpoprotekta sa Bakawan ng Bagong Silang (SAMMABABA)
baha,not_a_protected_area,Not a Protected Area,,,
balibago,balibago_mpa__calmada,Balibago Mangrove Protected Area,20,Executive Order No. 31-2014; Municipal Ordinance No. 108 series of 2009 (Environmental Code of Calatagan),Calatagan Mangrove Development Alliance (CALMADA)
balitoc,not_a_protected_area,Not a Protected Area,,,
bucal,not_a_protected_area,Not a Protected Area,,,
carretunan,not_a_protected_area,Not a Protected Area,,,
encarnacion,encarnacion_mpa__smme,Encarnacion Mangrove Protected Area,6.26,POMP Executive Order No. 10-2017; adopted by Municipal Ordinance No. 108 series of 2009 (Environmental Code of Calatagan),Samahan ng Maliliit na Maglalambat ng Brgy. Encarnacion (SMME)
gulod,not_a_protected_area,Not a Protected Area,,,
quilitisan,calatagan_conservation_par,Calatagan Mangrove Conservation Park,7.5,Sangguniang Bayan Resolution No. 76 s. 2009 (September 8 2009),Pro-Mangrove Alliance and Implementing Team and Arm as Kilitisan's Advocates of Nature (PALITAKAN)
sambungan,not_a_protected_area,Not a Protected Area,,,
sta__ana,sta__ana_mpa__sapsap,Sta. Ana Mangrove Protected Area,2,POMP Executive Order No. 10-2017; adopted by Municipal Ordinance No. 108 series of 2009 (Environmental Code of Calatagan),Samahang ang Adhikain ay Pangalagaan sa Sta. Ana ang Pangisdaan (SAPSAP)
talibayog,not_a_protected_area,Not a Protected Area,,,
talisay,not_a_protected_area,Not a Protected Area,,,
tanagan,not_a_protected_area,Not a Protected Area,,,
poblacion_1,not_a_protected_area,Not a Protected Area,,,
poblacion_2,not_a_protected_area,Not a Protected Area,,,
poblacion_3,not_a_protected_area,Not a Protected Area,,,
poblacion_4,not_a_protected_area,Not a Protected Area,,,
